review_id,review_text
1,The product was exactly what I needed. Great quality!
2,Horrible experience. The item broke after one use.
3,Fast delivery and well-packaged.
4,The color was totally different than advertised.
5,I love it! Will definitely buy again.
6,The product is okay. Nothing amazing.
7,Packaging was poor. Disappointed.
8,Exceptional quality and beautiful design!
9,Didn’t meet my expectations at all.
10,Pretty good for the price.
11,It arrived late and damaged.
12,Amazing! Exceeded my expectations.
13,"It works, but I wouldn’t recommend it."
14,Great value. I’m satisfied with this purchase.
15,Completely useless. Waste of money.
